"","751585__853_39491","46503__820_28116","357276__33039_40518","47678__1680_45851","853__39491","39485__28117_457412","820__28116","33039__40518","46506__487174","28117__457412","1680__45851"
"ERR209057",-5.83376582572466,-3.07207504455205,0,0,-1.75827160564261,-2.4754061748666,5.32099006182858,0,0,4.28752926423868,0
"ERR209058",-5.7953365682996,-2.62275379009901,4.63227615255474,0,-2.17327832059753,-2.34842238614888,4.54274282019533,0,0,4.067586890442,0
"ERR209059",-3.49647303106165,-2.4986356268731,4.56679295908953,0,-6.05606893709313,-2.40412385842063,4.32776385534592,0,0,4.16406467047306,0
"ERR209060",2.16323532321719,-2.96747655782145,-2.71815687616096,0,5.15562371592108,4.87888489419387,5.13982016841635,-4.70798581245349,0,0,0
"ERR209061",2.32056624272809,-2.95956859735768,-2.75620738725575,0,4.88328318800708,5.09491454157004,5.12612317910885,-4.77389123092363,0,0,0
"ERR209062",2.27996773572123,-2.77471636280111,-2.83148624696418,0,4.81267928993564,0,4.80594971696424,-4.90427804067447,0,0,0
"ERR209069",-2.52182116224082,0,2.26315366100438,-3.1532468910589,4.36792238060349,-2.52819617852392,0,-4.28683852102,0,4.3789642327049,-5.46158382412262
"ERR209070",-2.61132456373542,0,2.13504868676768,-3.10842393710526,4.52294681944238,-2.58266857471851,0,-4.26546863635764,0,4.47331319052396,-5.38394819052959
"ERR209071",-2.62242776932111,0,2.30094781508933,-3.11537812514416,4.54217813564368,-2.61217828538894,0,-4.2512995775714,0,4.52442550872179,-5.39599319753836
"ERR209072",-2.64898255087448,0,2.23343321830736,-3.10966178554066,4.58817236647802,-2.63902522987596,0,-4.24643766055179,0,4.5709257806013,-5.38609220691178
"ERR209077",-2.62878103850691,0,0,0,4.55318232066765,-2.29418898891465,0,0,0,3.97365189096524,0
"ERR209078",-2.41558793754306,0,0,0,4.18392103797511,-2.0765402525239,0,0,0,3.5966732213333,0
"ERR209079",0,0,-2.22166855095715,0,0,4.37408792422859,0,3.84804280783571,0,0,0
"ERR209082",-3.00634489739662,-2.67024340359538,0,0,5.20714210736638,-2.81065627557931,4.62499724360285,0,-4.44548460919824,4.86819947191568,0
"ERR209083",-2.85116961716929,-2.71005143956763,0,0,4.93837063793392,-2.68909476572059,4.69394678445631,0,-4.5478966868761,4.65764876059558,0
"ERR209084",-2.7539404520762,-2.6900994265158,0,0,4.76996478401518,0,4.65938888413727,0,-4.45887702759117,0,0
"ERR209085",-2.61620588992589,0,2.62037927534375,0,4.53140152441259,-2.83323390113796,0,-5.01866673736371,-4.38166039963037,4.90730506649752,0
"ERR209086",-2.5468929982235,0,2.69950376899201,0,4.41134807436453,-2.75437326364605,0,-5.00221539568955,-4.3851650376448,4.77071443564427,0
"ERR209087",-2.33828267226431,0,2.60985297689831,0,4.05002439081972,-2.48321349723114,0,-5.19052897165149,-4.54640887836708,4.30105194324512,0
"ERR209088",-2.58389666787018,0,2.67324225014258,0,4.47544031025908,-2.70108243559154,0,-4.98631195963723,-4.38788866790225,4.67841201387644,0
"ERR209089",-2.54809919126734,0,2.73618717298809,0,4.41343726200021,-2.67008744347053,0,-5.0086900842529,-4.40488246286953,4.62472711274264,0
"ERR209090",-2.60044342919771,0,2.56381056292312,0,4.50410014157907,-2.73390455239871,0,-5.00686333889714,-4.45255951210055,4.73526158779842,0
"ERR209091",-2.59036636938284,0,2.52996751105852,0,4.4866461619888,-2.72036493884412,0,-5.00789471876649,-4.43433174718395,4.71181028920702,0
"ERR209094",-2.81905691702353,-2.58234660278675,0,0,4.88274980971324,-2.89551692890041,4.47275551877954,0,-4.53380424151004,5.01518243503131,0
"ERR209095",-2.73707376816765,-2.65916360897486,0,0,4.74075083053037,-2.85511285579123,4.60580647638268,0,-4.59745791929343,4.94520052757348,0
"ERR209096",-2.46213373304107,-2.60123431258769,-2.54525865608449,0,4.26454072065636,-2.48040588651147,4.50546999179337,-4.40851731074282,-4.53894501440885,4.29618901883078,0
"ERR209099",0,-2.8055263982722,0,0,0,-2.75790986353691,4.85931426378317,0,-4.63030303895882,4.77684000634128,0
"ERR209100",0,-2.85419416489021,0,0,0,-2.56721334437801,4.94360930825647,0,-4.58977912652043,4.44654394633153,0
"ERR209101",0,-2.82539456307729,-2.65256577499576,0,0,0,4.89372693467874,-4.59437869271098,-4.58745482822284,0,0
"ERR209108",-2.5126321628869,0.231056701057285,7.03437387215911,0,4.35200656685179,-2.52995281055496,-0.330708576695652,0,0,4.38200680863287,0
"ERR209109",0,0.296693739300921,4.67300440287041,0,0,0,-0.464271411344317,-4.08556224511511,0,0,0
"ERR209110",-2.54776375369425,0,0,0,4.41285626708084,6.19743940458841,0,0,0,0,0
"ERR209111",-2.55772168488962,0,0,0,-4.43010390984949,6.418198716106,0,0,-4.46547801945806,0,0
"ERR209116",-2.5551170492777,-3.3381775585058,-2.3578542759478,0,4.42559254863445,-2.77738782350672,5.78189313601828,-4.08392340278512,-4.59363597169746,4.81057682263678,0
"ERR209118",-5.4742240829816,-2.85929316157722,5.44158898848391,-2.50088749775679,-0.69568751383077,0,4.95244102958599,0,0,0,-4.33166421012855
"ERR209120",-0.131379709868142,-2.47784866906121,-2.63114400401129,6.31191480911911,0.0271283207431985,5.34547252663282,4.29175978828095,4.55727509697777,0,0,0
"ERR209121",-0.109230795345877,-2.53018694378013,-2.52539216958157,6.16800980131676,0.540513256412802,5.24360811853708,4.38241233927461,4.37410754675188,0,0,0
"ERR209124",-2.68152343201702,-2.81329003925363,0,5.22072344537643,-4.64453482593995,-3.03601931410806,4.87276128441472,0,-5.31469503878063,5.25853970479557,0
"ERR209126",0.554278805067183,0,-3.28830747088739,-3.06740753218297,0.435668057696616,4.66673163015408,0,-5.69551561048528,0,0,-5.31290569326038
"ERR209128",-4.97473754839207,0,-2.53143118532694,-3.5728887616718,0.419436893668271,0,0,-4.38456742885057,0,0,-6.1884248650074
"ERR209130",-4.9370858366081,4.73708786953598,0,0,0.964287042390063,2.5783534103415,0,0,0,4.24141829917314,0
"ERR209132",-2.65032529722358,-2.83787492444272,0,-2.6967536361525,4.59049807137633,3.03820851573449,4.91534355466047,0,0,4.53978958431718,-4.67091431331224
"ERR209133",0,-2.9040824015427,-2.56189955807561,-2.8415773317749,0,5.98425002209666,5.03001826883859,-4.4373401984752,0,0,-4.92175631227014
"ERR209134",0,0,0,0,0,5.80611813715477,0,0,0,0,0
"ERR209135",2.53217524915293,0,0,0,-3.97340030730121,5.45412701008364,0,0,0,0,0
"ERR209136",-5.37797088279079,-2.96815928290131,-2.6219528008075,0,-0.252831086517717,5.91202635170708,5.14100268294228,-4.5413554660461,0,0,0
"ERR209137",-2.7630078650661,-3.03230968786325,2.49009417046486,0,-4.7856700040069,6.39032232223416,5.25211444366248,-4.66045438851385,0,0,0
"ERR209138",-2.73152067571517,0,6.88034074997344,0,-4.73113259226354,5.96563222132539,0,0,0,0,0
"ERR209139",-2.66601966939486,0,4.26354790059395,0,-4.61768152136988,5.96496130974111,0,4.30861095705028,0,0,0
"ERR209140",-5.09448918219471,-2.78672179393563,0,0,-0.73107861056271,0,4.826743733656,0,0,0,0
"ERR209141",-2.81883459266433,-2.84310942780795,0,0,-4.88236473262734,0,4.92440998044145,0,0,0,0
"ERR209142",0,2.21321842028125,0,5.17089513402139,0,5.86093128352647,4.89124954147439,0,4.57402255789331,0,0
"ERR209143",0,2.41824520822843,0,5.14756494374059,0,5.59658668599721,4.54217107423235,0,4.72708810823698,0,0
"ERR209144",-2.51852796807955,2.05602128144576,0,0,4.362218400997,0,5.03956465571489,0,4.59674457753397,0,0
"ERR209145",-2.58341698223788,2.17294396745097,0,0,4.47460947037228,0,4.86617603593067,0,4.75321869373316,0,0
"ERR209146",-5.48126834509714,-3.04973114695005,5.31425487894455,-2.56411002297078,-0.114775540660903,0,5.28228929594279,0,0,0,-4.44116883598199
"ERR209147",-2.82996559164996,1.6474207080576,3.32191048083546,2.1896184005577,-4.90164418840945,0,5.24744224586016,-4.67742554670878,0,0,-4.5887536614669
"ERR209148",-5.79852778995171,-2.79756779583987,5.15988917636048,-2.79712023376182,-0.802481111133058,-2.63787622705077,4.84552956001312,0,0,4.56893564933003,4.84475435975442
"ERR209149",-3.25868186716926,2.20083844376823,2.86925316406188,0,-5.64420255964057,0,5.03191695868157,-4.32472643252028,0,0,0
"ERR209150",2.37210637432588,-2.55254917605259,0,-2.67964807622681,-4.7808830625718,0,4.42114486174117,0,-4.67020423225614,0,-4.64128661442904
"ERR209151",2.72820008189063,0,-2.50595289766332,0,-4.86043598099409,0,0,-4.34043774012733,-4.92713340405633,0,0
"ERR209152",2.85054890780803,0,-2.54805203179468,0,-4.87127627293751,-2.71303873315589,0,-4.4133555793975,-4.95727751546186,4.69912092872831,0
"ERR209153",2.97173060678542,-2.5076243365349,-2.66287012620026,-2.44944963509226,-4.9997061583913,0,-4.34333275717464,-4.6122263525362,-5.08451452206308,0,-4.24257121856083
"ERR209154",-5.38332346368145,4.87438617506823,0,-3.50675514622603,0.678957432272704,2.46280921359179,0,0,0,4.34658295962868,-6.07387808296712
"ERR209155",-2.40382677435345,4.97137828470542,0,1.4432390123991,-4.16355010577458,5.29658348121712,0,0,0,0,-6.11597114998983
"ERR209156",-2.85131509447039,-3.22228456580193,0,0,4.93862261201076,5.69104728611015,5.58116058441396,0,0,0,0
"ERR209157",0,-5.82215993624263,-2.64679705530476,0,0,5.6866098935668,1.48182539682012,4.58438697711153,0,0,0
"ERR209158",-0.00257651654013593,-2.51214479375723,0,0,-0.777868085494682,5.2939383069058,4.35116241875716,0,0,0,0
"ERR209159",2.6839600703969,-2.53511969495777,0,0,-5.30313295603366,5.25692065775038,4.39095611493537,0,0,0,0
"ERR209160",0,0,0,0,0,-2.91704301143688,0,0,-4.2144278988979,5.05246670367239,0
"ERR209161",0,0,-2.75712240591814,4.95114248402059,0,-2.47407296870756,0,-4.77547608973675,-4.75159527639215,4.28522008343426,0
"ERR209162",-2.41141308349599,-2.63758144282098,-2.66303875240422,0,4.17668997865139,-2.77177075440468,4.56842506806677,-4.61251842168894,0.191365863601399,4.80084777356242,0
"ERR209163",-2.40762202597129,-2.68974947748593,-2.78279553943598,0,-4.17012367440419,-2.36333241943901,4.65878275463748,-4.81994326137915,-0.0260893568564031,4.09341182564305,0
"ERR209164",-2.84808106947079,-5.12239235720969,0,5.01803020405317,4.93302111639851,0,-0.348173117987125,0,0,0,0
"ERR209165",0,-5.90950837304143,0,5.27486767661756,0,0,0.493072545075738,0,0,0,0
"ERR209166",0.27299965847558,0,0,1.58774882149802,0.283572892038238,-2.51523794965466,0,0,0,4.35651992192724,-6.16846953352233
"ERR209167",0.618147168032092,0,0,1.66421846717786,-0.30609744381922,-2.30590409110407,0,0,0,3.99394304317318,-6.20259808715515
"ERR209168",2.71510500015178,-2.88610513109207,5.58703803259633,0,-4.32456600951117,5.20927107567207,4.9988807230367,0,5.1149929673174,0,0
"ERR209169",2.84753798158004,-2.90324333299032,5.41095497235215,0,-4.48715484496905,4.89310808119045,5.02856495947484,0,5.1248008872438,0,0
"ERR209170",-0.168547285150253,0,0,-2.54976389580032,0.206419329841422,2.74452893123688,0,0,0,4.95081598409322,-4.41632061483091
"ERR209171",2.89692269971226,0,-2.75833556956333,-2.57418273180667,-4.87309413864664,6.00292901668014,0,-4.77757735080812,0,0,-4.4586152794556
"ERR209172",-5.52527124504419,0,-2.51332245371103,-5.2909707774884,0.257139254793432,4.20350338326154,0,-4.35320218563117,0,0,-1.82179177022078
"ERR209173",-5.56043241013684,0,-2.92989635437948,-3.01874298904861,-0.768630240689442,4.91244307718563,0,-5.07472934669609,0,0,-5.22861623202452
"ERR209174",-5.67273681969726,0,0,-2.56340200168174,-0.369689353300943,0,0,0,0,0,-4.43994250713654
"ERR209175",-0.801721558175762,0,0,-2.55992723888673,-0.847095777427054,0,0,0,0,0,-4.43392404143133
"ERR209176",-2.70416646420939,-2.90906276398518,0,-2.92090823291148,4.68375370813454,5.08656216153616,5.03864450962908,0,0,0,-5.05916146364891
"ERR209177",0,-2.93325945349155,0,-3.06079763350003,0,5.43979013448703,5.08055440522909,0,0,0,-5.30145701290864
"ERR209178",-6.00121113519813,2.61881975195017,4.64221241339766,0,-1.26333503491034,0,4.18169799669518,0,0,0,0
"ERR209179",-0.407473235600209,5.08967626620451,-2.53964699195722,4.79989743915446,-1.64233481248166,-2.29233453992317,0,4.39879762335938,0,3.97043989109195,0
"ERR209180",-5.3935823152088,2.56536171529814,0,0,-0.445843735203681,-2.63885811758353,5.27170501514274,0,0,4.57063633362024,0
