"","Part","BalanceID","Component","Group","d.group"
"3","-1","751585__853_39491","853","751585__853_39491-1","1"
"9","-1","751585__853_39491","39491","751585__853_39491-1","1"
"20","1","751585__853_39491","751585","751585__853_394911","1"
"21","-1","46503__820_28116","820","46503__820_28116-1","1"
"25","-1","46503__820_28116","28116","46503__820_28116-1","1"
"32","1","46503__820_28116","46503","46503__820_281161","1"
"47","-1","357276__33039_40518","33039","357276__33039_40518-1","1"
"50","-1","357276__33039_40518","40518","357276__33039_40518-1","1"
"57","1","357276__33039_40518","357276","357276__33039_405181","1"
"64","-1","47678__1680_45851","1680","47678__1680_45851-1","1"
"71","-1","47678__1680_45851","45851","47678__1680_45851-1","1"
"74","1","47678__1680_45851","47678","47678__1680_458511","1"
"83","1","853__39491","853","853__394911","1"
"89","-1","853__39491","39491","853__39491-1","1"
"106","-1","39485__28117_457412","28117","39485__28117_457412-1","1"
"108","1","39485__28117_457412","39485","39485__28117_4574121","1"
"118","-1","39485__28117_457412","457412","39485__28117_457412-1","1"
"121","1","820__28116","820","820__281161","1"
"125","-1","820__28116","28116","820__28116-1","1"
"147","1","33039__40518","33039","33039__405181","1"
"150","-1","33039__40518","40518","33039__40518-1","1"
"173","1","46506__487174","46506","46506__4871741","1"
"179","-1","46506__487174","487174","46506__487174-1","1"
"186","1","28117__457412","28117","28117__4574121","1"
"198","-1","28117__457412","457412","28117__457412-1","1"
"204","1","1680__45851","1680","1680__458511","1"
"211","-1","1680__45851","45851","1680__45851-1","1"
