"","751585__853_39491","46503__820_28116","357276__33039_40518","47678__1680_45851","853__39491","39485__28117_457412","820__28116","33039__40518","46506__487174","28117__457412","1680__45851"
"820",0,-1,0,0,0,0,1,0,0,0,0
"821",0,0,0,0,0,0,0,0,0,0,0
"853",-1,0,0,0,1,0,0,0,0,0,0
"1680",0,0,0,-1,0,0,0,0,0,0,1
"28116",0,-1,0,0,0,0,-1,0,0,0,0
"28117",0,0,0,0,0,-1,0,0,0,1,0
"33039",0,0,-1,0,0,0,0,1,0,0,0
"39485",0,0,0,0,0,1,0,0,0,0,0
"39491",-1,0,0,0,-1,0,0,0,0,0,0
"40518",0,0,-1,0,0,0,0,-1,0,0,0
"45851",0,0,0,-1,0,0,0,0,0,0,-1
"46503",0,1,0,0,0,0,0,0,0,0,0
"46506",0,0,0,0,0,0,0,0,1,0,0
"47678",0,0,0,1,0,0,0,0,0,0,0
"165179",0,0,0,0,0,0,0,0,0,0,0
"218538",0,0,0,0,0,0,0,0,0,0,0
"357276",0,0,1,0,0,0,0,0,0,0,0
"457412",0,0,0,0,0,-1,0,0,0,-1,0
"487174",0,0,0,0,0,0,0,0,-1,0,0
"751585",1,0,0,0,0,0,0,0,0,0,0
