,D006262
818__1308_47678,0.024003413049150202
853__39485,-0.014234501480078297
1735__88431_411489,-0.016996914268316312
28116__204516,-0.08458476356999167
40545__33039_360807,-0.1713215090171573
100886__165179_310298,0.1487671072633815
674529__218538_410072,-0.031649702809565014
823__39483,0.22467204049727363
28111__208479,0.12529881355030173
46228__821_46506,0.0881051051623548
166486__261299,0.14979474030094259
39777__357276,-0.06896250284730747
1308__47678,-0.21722522555500362
1681__74426_487173,0.10170382494030675
301301__820_29466,0.05555246590474015
39496__28118_39486,-0.3336538519317586
1623__40520_329854,-0.08348969639059126
338188__562_39491,-0.08585436064078775
1304__239935,-0.14071743565203823
165179__310298,0.03650259883011029
1318__387090,-0.25624584756954966
33039__360807,-0.06263858988907631
88431__411489,-0.040286455588088035
658082__39488_751585,-0.12636889342812377
1502__214856,-0.34898716828244913
817__39492,-0.04887160478614585
150055__216816_487174,-0.021985278054679556
218538__410072,0.15323261593859075
729__46503,-0.09696048346401463
1531__40518_658081,0.31974096322300394
820__29466,0.08073478674186871
821__46506,0.14682820429913773
562__39491,-0.05694504053566625
74426__487173,-0.26033713092355765
40520__329854,-0.2818065326245522
39488__751585,-0.11188360197168558
29361__33038_246787,-0.024578676139800658
28118__39486,0.33283874087564597
291644__28117_457412,-0.1403509402307765
216816__487174,-0.06853823153527693
328814__1680_45851,-0.11288443336173934
40518__658081,0.3540491074540885
33038__246787,-0.17395781324339807
28117__457412,0.13196829339586963
1680__45851,-0.43608987516407366
