,D006262
818__1308_47678,-0.016187680900401343
853__39485,-0.017314273824097177
1735__88431_411489,0.05988476888489189
28116__204516,-0.057525699651964426
40545__33039_360807,-0.15699730494325542
100886__165179_310298,0.1441069974453509
674529__218538_410072,-0.0682095444847636
823__39483,0.2101682208351868
28111__208479,0.18863478521810145
46228__821_46506,0.08523452298692306
166486__261299,0.14887441168166676
39777__357276,-0.06321478699715817
1308__47678,-0.1483338375648977
1681__74426_487173,0.1329002801393064
301301__820_29466,0.06281803572737456
39496__28118_39486,-0.463741852132724
1623__40520_329854,-0.027456473646294072
338188__562_39491,-0.12118489474318389
1304__239935,-0.1481339165059587
165179__310298,0.08898054171044754
1318__387090,-0.24671229201057843
33039__360807,-0.041582556122382965
88431__411489,-0.04157633509230821
658082__39488_751585,-0.10608057763155068
1502__214856,-0.21088187799151947
817__39492,-0.05738767422514819
150055__216816_487174,-0.012944802453626827
218538__410072,0.1256429787750454
729__46503,-0.1395762428845318
1531__40518_658081,0.2372824533774995
820__29466,0.04326948427769914
821__46506,0.12957363256378118
562__39491,-0.11452225153507004
74426__487173,-0.25536684176922947
40520__329854,-0.3315316864930607
39488__751585,-0.10388800842840229
29361__33038_246787,0.028860124138037502
28118__39486,0.6106019034629793
291644__28117_457412,-0.11437948397177694
216816__487174,-0.1013467712097018
328814__1680_45851,-0.027716692859625452
40518__658081,0.3137411534753334
33038__246787,-0.17703792271413643
28117__457412,0.13126731128867455
1680__45851,-0.41791603199215227
