,D006262
818__1308_47678,-0.008615453295100108
853__39485,-0.03406067623360794
1735__88431_411489,0.019817592855640238
28116__204516,-0.08372855509962168
40545__33039_360807,-0.134398408301432
100886__165179_310298,0.19086151488086936
674529__218538_410072,-0.05136198152634808
823__39483,0.17445874990318333
28111__208479,0.19366649406853848
46228__821_46506,0.08932684581826171
166486__261299,0.13411055050215054
39777__357276,-0.058270043542028846
1308__47678,-0.119634552420178
1681__74426_487173,0.12823640809526546
301301__820_29466,0.09320429049648417
39496__28118_39486,-0.3158507811379344
1623__40520_329854,0.03554461955592527
338188__562_39491,-0.09371228308341334
1304__239935,-0.1715507348762624
165179__310298,0.09168036164606998
1318__387090,-0.2771342911057748
33039__360807,-0.0694516845974946
88431__411489,-0.0022761560062397822
658082__39488_751585,-0.09550438946115757
1502__214856,-0.3285487003496225
817__39492,-0.0455181070694512
150055__216816_487174,0.03031321843135725
218538__410072,0.14899163120366093
729__46503,-0.1256808619665202
1531__40518_658081,0.24237630421786224
820__29466,0.0419129640350904
821__46506,0.15914693180090392
562__39491,-0.09990576830710256
74426__487173,-0.3657485215762567
40520__329854,-0.3289000420350877
39488__751585,-0.10675007613325212
29361__33038_246787,-0.014880867225084964
28118__39486,0.5516206348448246
291644__28117_457412,-0.12185344245423851
216816__487174,-0.11364797887077584
328814__1680_45851,-0.04218976061750883
40518__658081,0.33138339524782706
33038__246787,-0.18409457753094863
28117__457412,0.1321384777283675
1680__45851,-0.43408302642175955
