,D006262
818__1308_47678,-0.019082557206992076
853__39485,-0.033142922810609245
1735__88431_411489,-0.003454922675247928
28116__204516,-0.10017355279934945
40545__33039_360807,-0.1852401110663035
100886__165179_310298,0.1842112042470194
674529__218538_410072,-0.08209718064493936
823__39483,0.16732616896295943
28111__208479,0.1663318076984406
46228__821_46506,0.07042807008449556
166486__261299,0.12493860926893492
39777__357276,-0.044892413903527405
1308__47678,-0.1623207073018095
1681__74426_487173,0.049187794732162844
301301__820_29466,0.11831554431643597
39496__28118_39486,-0.4351159228445449
1623__40520_329854,0.031455261857816615
338188__562_39491,-0.09767740864323882
1304__239935,-0.14900500986807882
165179__310298,0.08210802910559507
1318__387090,-0.2580744898852505
33039__360807,-0.052406545754114464
88431__411489,-0.02738280138834558
658082__39488_751585,-0.06106268164094567
1502__214856,-0.37013198044073253
817__39492,-0.04851758771834655
150055__216816_487174,-0.025867198769054207
218538__410072,0.16070410674115965
729__46503,-0.11935586931950878
1531__40518_658081,0.2320660608853147
820__29466,0.07487667562068169
821__46506,0.14247515122290688
562__39491,-0.09242496883014605
74426__487173,-0.3287858763876032
40520__329854,-0.2734143468527018
39488__751585,-0.13384894478174447
29361__33038_246787,-0.015029580261463246
28118__39486,0.5371824377657252
291644__28117_457412,-0.09706632261882606
216816__487174,-0.08264977245565291
328814__1680_45851,-0.05045066027526166
40518__658081,0.31890862432956735
33038__246787,-0.17481498130773046
28117__457412,0.1383981683601841
1680__45851,-0.45240404010835283
