"","818__1308_47678","853__39485","1735__88431_411489","28116__204516","40545__33039_360807","100886__165179_310298","674529__218538_410072","823__39483","28111__208479","46228__821_46506","166486__261299","39777__357276","1308__47678","1681__74426_487173","301301__820_29466","39496__28118_39486","1623__40520_329854","338188__562_39491","1304__239935","165179__310298","1318__387090","33039__360807","88431__411489","658082__39488_751585","1502__214856","817__39492","150055__216816_487174","218538__410072","729__46503","1531__40518_658081","820__29466","821__46506","562__39491","74426__487173","40520__329854","39488__751585","29361__33038_246787","28118__39486","291644__28117_457412","216816__487174","328814__1680_45851","40518__658081","33038__246787","28117__457412","1680__45851"
"ERR209057",0,4.17302878186014,0,0,0,0,0,0,0,-2.65209799437048,0,0,0,0,-3.07206071464585,0,0,-3.42443787536925,-4.71289287359744,0,0,0,0,0,0,-5.03897435255438,0,0,0,0,5.32096524170297,4.59356847290119,-5.93130038750276,0,0,0,0,0,-2.47539184496039,0,4.80612164241569,0,0,4.28750444411306,0
"ERR209058",0,3.93224425158027,0,0,0,0,0,0,0,-2.82117052750172,0,-4.0116435457079,0,0,-2.62273919482892,0,0,-3.52502510059019,-4.44113948337708,0,0,0,0,0,0,-5.10185420772374,0,0,0,0,4.54271754044598,4.88641069044887,-6.1055225721778,0,0,0,0,0,-2.34840779087879,0,0,0,0,4.06756161069265,0
"ERR209059",0,0,0,0,0,0,0,0,0,-2.75511221125765,0,-3.95493389626983,0,0,-2.4986212969669,0,0,-3.49645870115545,-4.6613286170514,0,0,0,0,0,0,-5.12632466510119,0,0,0,0,4.32773903522031,4.77199433045169,-6.05604411696752,0,0,0,0,0,-2.40410952851443,0,4.66433561683785,0,0,4.16403985034744,0
"ERR209060",0,0.930385455409032,0,0,0,0,-2.71399635439413,0,0,-2.56544501630226,0,0,0,0,-2.96746143181426,0,0,0,0,0,4.38184331980104,0,0,-2.56990290571514,0,0,0,4.70077957736735,0,-2.71814175015378,5.13979396940338,4.44348111225989,0,0,0,-4.4512024032175,0,0,0,0,0,4.70795961344053,0,0,0
"ERR209061",0,0.470957764896679,0,0,0,0,-2.68155998174783,0,0,-2.72135220394618,0,0,0,0,-2.95955347135049,0,0,0,0,0,4.54200585751756,0,0,-2.56995042691939,0,0,0,4.64459813193071,0,-2.75619226124857,5.12609698009589,4.71352028252433,0,0,0,-4.4512847123577,0,0,0,0,0,4.77386503191067,0,0,0
"ERR209062",0,4.81265355054612,0,0,0,0,-2.65911667482822,0,0,-2.6255765144814,0,0,0,0,-2.77470150215764,0,0,0,0,0,4.57715738043833,0,0,-2.52926984900098,0,-4.34233959239816,0,4.60572518405609,0,-2.83147138632071,4.80592397757472,4.54763192224139,0,0,0,-4.38082388452177,0,0,0,0,0,4.90425230128495,0,0,0
"ERR209069",0,4.36789710085414,0,0,0,-3.53279129256619,0,0,4.13420083654211,0,0,-4.1033425438582,0,0,0,0,0,0,0,6.11897401126157,0,0,0,0,-3.77830259469164,0,0,0,0,-2.47499277881326,0,0,0,0,0,0,0,0,-2.52818158325383,0,-3.15323229578881,4.28681324127064,0,4.37893895295555,-5.46155854437327
"ERR209070",0,4.52292153969303,0,0,0,-3.53722563039029,0,0,4.13810972188675,0,0,-3.98171543948688,0,0,0,0,0,0,0,6.12665450967083,0,0,0,0,-3.85452791265729,0,0,0,0,-2.4626548701509,0,0,0,0,0,0,0,0,-2.58265397944842,0,-3.10840934183517,4.26544335660829,0,4.4732879107746,-5.38392291078024
"ERR209071",0,4.54215285589433,0,0,0,-3.5264969422405,0,0,4.10587616300304,0,0,-4.11830376968601,0,0,0,0,0,0,0,6.10807187669684,0,0,0,0,-3.87458971053796,0,0,0,0,-2.4544743602465,0,0,0,0,0,0,0,0,-2.61216369011884,0,-3.11536352987407,4.25127429782205,0,4.52440022897244,-5.39596791778901
"ERR209072",0,4.58814708672866,0,0,0,-3.52554308024638,0,0,4.11383722320286,0,0,-4.05740345523675,0,0,0,0,0,0,0,6.10641973925961,0,0,0,0,-3.84796661926914,0,0,0,0,-2.45166733114645,0,0,0,0,0,0,0,0,-2.63901063460587,0,-3.10964719027057,4.24641238080244,0,4.57090050085195,-5.38606692716242
