"","denovo54","denovo34","denovo619","denovo612","denovo428","denovo424","denovo997","denovo71","denovo76","denovo672","denovo1254","denovo444","denovo1233","denovo1089","denovo388","denovo464","denovo468","denovo109","denovo108","denovo107","denovo102","denovo1079","denovo92","denovo93","denovo90","denovo91","denovo96","denovo97","denovo98","denovo99","denovo180","denovo6","denovo7","denovo343","denovo344","denovo163","denovo168","denovo1100","denovo577","denovo1443","denovo104","denovo142","denovo147","denovo146","denovo1124","denovo551","denovo556","denovo976","denovo895","denovo897","denovo961","denovo379","denovo810","denovo536","denovo534","denovo532","denovo539","denovo150","denovo2","denovo1358","denovo320","denovo186","denovo121","denovo125","denovo691","denovo547","denovo516","denovo517","denovo73","denovo74","denovo703","denovo705","denovo859","denovo287","denovo357","denovo299","denovo1466","denovo1398","denovo1399","denovo727","denovo877","denovo874","denovo308","denovo1077","denovo263","denovo1663","denovo815","denovo1253","denovo1252","denovo443","denovo244","denovo245","denovo62","denovo69","denovo63","denovo61","denovo60","denovo67","denovo764","denovo837","denovo1025","denovo1651","denovo227","denovo580","denovo596","denovo599","denovo40","denovo42","denovo45","denovo44","denovo49","denovo48","denovo787","denovo789","denovo788","denovo831","denovo201","denovo209","denovo1083","denovo27","denovo26","denovo25","denovo24","denovo23","denovo22","denovo21","denovo20","denovo29","denovo46","denovo1780","denovo956","denovo1568","denovo628","denovo626","denovo627","denovo624","denovo58","denovo59","denovo1224","denovo124","denovo601","denovo602","denovo1355","denovo770","denovo660","denovo1262","denovo471","denovo1621","denovo1626","denovo1092","denovo396","denovo392","denovo398","denovo139","denovo640","denovo135","denovo41","denovo43","denovo1287","denovo1006","denovo132","denovo130","denovo1207","denovo114","denovo115","denovo116","denovo84","denovo87","denovo86","denovo81","denovo89","denovo1115","denovo563","denovo562","denovo565","denovo566","denovo908","denovo4","denovo191","denovo351","denovo681","denovo172","denovo170","denovo546","denovo966","denovo1632","denovo1306","denovo152","denovo37","denovo30","denovo31","denovo32","denovo33","denovo182","denovo1157","denovo529","denovo1817","denovo315","denovo330","denovo333","denovo338","denovo192","denovo193","denovo295","denovo939","denovo1414","denovo184","denovo1066","denovo489","denovo482","denovo480","denovo1","denovo3","denovo5","denovo8","denovo9","denovo413","denovo417","denovo17","denovo255","denovo251","denovo15","denovo238","denovo79","denovo70","denovo75","denovo753","denovo88","denovo1119","denovo235","denovo232","denovo582","denovo586","denovo584","denovo588","denovo16","denovo56","denovo57","denovo53","denovo50","denovo51","denovo19","denovo13","denovo11","denovo14","denovo1336","denovo777","denovo824","denovo826","denovo820","denovo823","denovo1562","denovo160","denovo1008","denovo1009","denovo1553","denovo213","denovo216","denovo219","denovo512","denovo223","denovo1633","denovo35","denovo36","denovo38","denovo794","denovo1214","denovo904","denovo187","denovo1575","denovo1394","denovo630","denovo18","denovo10","denovo1117","denovo1212","denovo406","denovo1104"
"DA01071",0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,26,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,2,1,2,0,13,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,361,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,76,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1933,727,0,0,1,0,0,0,0,0,0,0,349,0,0,0,0,1,0,0,0,0,1,0,372,0,0,3,0,0,0,0,215,0,0,4,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,7,0,0,0,2,0
"DA00953",0,4,0,0,1,0,0,17,5,0,0,0,0,0,0,0,0,0,0,9,36,1,0,1,8,0,5,0,0,16,0,289,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,112,0,0,0,11,0,0,9,3,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,4,1,0,31,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,107,7,0,9,0,0,9,108,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,1,0,0,28,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,58,21,878,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,141,160,233,1,0,0,90,0,0,0,0,0,37,0,15,0,0,0,0,0,4,0,59,37,2,0,18,25,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,83,100,156,0,0,0,1,0,0,0,95,31,0,0,0,0
"DA01134",0,155,0,0,0,0,0,61,3,1,0,0,0,0,1,1,0,0,0,42,14,0,0,24,0,0,0,0,0,0,0,478,29,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,44,0,9,10,0,59,0,0,0,0,72,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,3,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,361,0,0,65,40,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,8,15,0,0,0,0,0,0,0,47,0,2,0,0,0,0,0,0,0,0,0,1,333,0,88,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,1,328,0,2,25,83,14,0,0,3,0,0,0,0,10,1,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,10,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,103,2,0,0,0,0,0,0,0,0,132,0,0,0,0
"DA01335",267,10,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,431,0,0,0,0,0,0,0,0,0,70,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,556,0,0,0,1535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,0,0,0,0,2,0,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,14,2,0,0,0,0,374,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"DA00897",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA01044",1,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,47,248,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,43,1,0,0,43,0,44,0,1,1,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,564,0,0,0,0,0,0,0,0,0,450,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,206,10,0,0,0,8,0,0,4,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,56,0,0,2,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,1,0,0,1090,1,0,21,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,629,0,0,0,42,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA01106",0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,3,0,0,0,2,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1660,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017,0,7,1697,0,0,0,0,0,0,0,9,0,1,4,1,0,0,0,0,1,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA01231",3,46,0,0,0,0,0,0,27,0,0,1,0,0,0,1,0,0,0,0,44,0,0,0,1,0,0,4,0,26,0,11,1257,2,2,2,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,12,6,2,0,4,10,9,0,0,0,1,2,0,21,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,1,0,0,1,44,0,19,0,0,0,0,0,1,0,0,0,0,0,18,40,35,0,0,0,0,1,0,0,0,14,0,0,0,100,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,12,0,0,0,11,0,0,2,234,0,15,0,10,0,0,0,1,0,0,0,0,1,0,0,88,4,0,0,12,0,0,0,0,0,0,0,65,4,55,14,0,0,1,0,0,0,10,2,0,0,0,1,0,5,0,0,0,0,406,0,382,1627,0,0,1,40,0,24,0,4,0,7,4,0,0,0,2,0,0,0,1,0,122,7,0,0,3,2,628,45,43,0,0,0,0,0,0,0,0,17,0,0,0,10,0,18,0,25,0,20,139,236,0,0,0,0,0,0,0,168,0,0,0,0,0
"DA00949",992,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,14,2,0,0,0,0,0,0,1,0,1,0,0,4,2,0,0,2,0,0,0,0,0,0,0,1,0,61,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,0,4,0,0,0,0,0,0,4,1,1,0,0,0,1,0,0,0,2,1,0,0,0,1,0,21,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,2,1,0,2,0,1,1,1,18,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,1,2,2,16,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,41,537,3,12,5,0,1,0,0,0,2,0,380,0,4,0,8,0,0,0,0,0,0,0,781,0,0,0,1,1,3,3,5,8,0,0,0,0,0,2,0,0,0,0,1,0,0,0,20,0,0,0,3,0,3,0,0,0,0,0,0,10,5,0,0,1,0
"DA00989",2,0,0,0,1,0,1,0,0,0,2,0,1,1,2,0,0,0,0,13,0,0,0,0,0,0,0,54,0,2,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,1,0,0,0,0,0,0,19,1404,0,0,0,0,0,0,11,5,0,0,0,1,0,2,0,0,0,0,0,0,0,3,1,12,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,1,0,0,52,0,0,0,1,4,0,8,0,0,1,1,0,0,0,0,0,0,0,30,0,19,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,5,1,0,0,0,0,0,2,0,0,0,1,0,11,0,0,1,0,0,33,0,3,22,96,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,5,0,8,55,0,0,0,0,1,0,0,0,647,52,478,0,0,0,0,0,0,1,9,3,251,0,510,0,66,0,0,0,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1
