,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182
denovo54,0.0,0.0,0.0,0.05939933259176863,0.0,0.00022716946842344388,0.0,0.0004723665564478035,0.3237597911227154,0.00037397157816005983,0.0025850926324859974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000248015873015873,0.0,0.056861673045379986,0.0,0.0017031630170316302,0.0,0.0,0.3966989186112692,0.0,0.0,0.0,0.0,0.0,0.0821256038647343,0.0,0.0,0.00047607712449416806,0.0008131734092295182,0.0,0.0,0.0,0.0,0.00046860356138706655,0.0,0.006027852837247973,0.0020387359836901123,0.0,0.0,0.008846426043878274,0.0,0.0011270780501549732,0.0038918918918918917,0.015743604160809672,0.0,0.0006629101756711965,0.08526618069361608,0.0,0.00027839643652561246,0.004381530165149983,0.0,0.0,0.0005893909626719057,0.0,0.002955457040320878,0.00981923677750502,0.0003136762860727729,0.0,0.0,0.0,0.0008880994671403197,0.0,0.003903708523096942,0.0012227430201752598,0.0,0.0,0.0,0.0,0.011467889908256881,0.0033290653008962866,0.0011111111111111111,0.0056657223796034,0.0,0.0,0.02999062792877226,0.004712746858168761,0.004649196956889264,0.001129305477131564,0.036004645760743324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008045052292839903,0.0,0.00036483035388544326,0.0034516765285996054,0.0,0.0,0.0,0.003619254433586681,0.0,0.0002947678703021371,0.0,0.0,0.0,0.003770423125261835,0.0,0.0,0.0,0.0,0.0,0.0008760402978537013,0.0,0.0,0.0,0.0,0.0021770682148040637,0.005196304849884526,0.0,0.0,0.0,0.005238095238095238,0.0026607538802660754,0.0,0.0,0.0,0.0008952551477170994,0.0005586592178770949,0.0,0.0,0.0,0.0,0.008870490833826138,0.0,0.004409603135717786,0.0,0.0,0.003303964757709251,0.009995240361732508,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0003589375448671931,0.0,0.0005370569280343716,0.0,0.00019928258270227183,0.0,0.13540510543840178,0.013820775746767721,0.015625,0.0,0.0,0.002261420171867933,0.0,0.0,0.018975332068311195,0.0010224948875255625,0.0,0.0,0.0,0.0,0.02746761947297901,0.0,0.005332148411464119,0.0,0.0,0.0,0.0,0.10215053763440861,0.0
denovo34,0.0004636068613815484,0.001027221366204417,0.051615051615051616,0.002224694104560623,0.0,0.06587914584279873,0.0,0.007242953865532987,0.00032637075718015666,0.0,0.0,0.0,0.0,0.0021249468763280916,0.016891891891891893,0.0,0.0,0.0,0.0005605381165919282,0.004259134723156243,0.016080042880114345,0.0033053648614289346,0.0,0.00024313153415998054,0.0,0.07772236076475478,0.0,0.07983193277310924,0.0,0.0,0.07215472353087032,0.0,0.0,0.0019029495718363464,0.0,0.0024154589371980675,0.0,0.0,0.023327779100214236,0.0,0.0,0.013782274947662248,0.0009910802775024777,0.012350597609561753,0.006326148078725398,0.000691085003455425,0.016004988567865308,0.0,0.0,0.0,0.0,0.0018511662347278786,0.01972386587771203,0.07243243243243243,0.008996345234748383,0.0,0.00961219754723235,0.0004417936823503424,0.0,0.0,0.07280080889787664,0.01527538726333907,0.038430089942763694,0.0003929273084479371,0.0,0.13510660755752585,0.0,0.00219573400250941,0.0008424599831508003,0.007554945054945055,0.001567807682257643,0.0008880994671403197,0.10820624546114742,0.00021687269572760788,0.0,0.0038358266206367474,0.0,0.030148423005565864,0.0,0.0037270642201834864,0.0,0.044444444444444446,0.00141643059490085,0.0008029978586723769,0.0,0.0,0.0011220825852782765,0.00042265426880811494,0.009599096555618294,0.0,0.0,0.0,0.01266689489900719,0.05328504914640455,0.0,0.0,0.01098901098901099,0.0037896731406916154,0.05008944543828265,0.0,0.00830367734282325,0.013133892739875957,0.0004930966469428008,0.011350737797956867,0.009667330110889964,0.0,0.0,0.010446343779677113,0.0014738393515106854,0.002974714923153198,0.0,0.00043308791684711995,0.0,0.045825932504440496,0.007450980392156863,0.01293823038397329,0.0,0.0011976047904191617,0.0,0.0,0.0,0.001991040318566451,0.0,0.000725689404934688,0.0017321016166281756,0.0,0.010427010923535254,0.004839419269687638,0.002857142857142857,0.0026607538802660754,0.0,0.0,0.0,0.0004476275738585497,0.006145251396648044,0.0026607538802660754,0.005044136191677175,0.007478632478632479,0.0009293680297397769,0.004139562389118865,0.24743326488706366,0.0,0.014817950889077053,0.0,0.0,0.029509757258448358,0.0,0.0006056935190793458,0.0,0.0035714285714285713,0.0012126111560226355,0.031417624521072794,0.0035807291666666665,0.007896625987078248,0.0,0.0,0.0025806451612903226,0.01215623754483858,0.000423728813559322,0.0,0.013820775746767721,0.0,0.0,0.023717595146166576,0.0004522840343735866,0.0,0.0,0.0,0.00408997955010225,0.005805805805805806,0.03748509115692622,0.009334657398212513,0.030521757063312022,0.0011165698972755694,0.0548064375815572,0.03265940902021773,0.00043393360815795185,0.014087225009648784,0.0,0.0024147298520977964,0.0,0.11815490873211643
denovo619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032637075718015666,0.0,0.00043084877208099956,0.0004032258064516129,0.0,0.0,0.0,0.0004386926957666155,0.00039277297721916735,0.0,0.0002802690582959641,0.0,0.0,0.0,0.0,0.002188183807439825,0.000911244760342628,0.0,0.0,0.0,0.0,0.0,0.0004959087527894868,0.0,0.0,0.0,0.0,0.00024154589371980676,0.001134301270417423,0.0009492168960607499,0.0,0.0,0.0007580064430547659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001217100258633805,0.0,0.0007404664938911515,0.0,0.00043243243243243243,0.0,0.0010251153254741158,0.0,0.0004417936823503424,0.0,0.0,0.0,0.0,0.0,0.00019646365422396856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002037905033625433,0.0,0.0,0.00046382189239332097,0.0,0.0,0.00025608194622279127,0.0,0.00141643059490085,0.0,0.0009378663540445487,0.0,0.0,0.0,0.0,0.0011614401858304297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005675368898978433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005047955577990914,0.0,0.001314060446780552,0.0,0.0,0.0,0.0,0.000725689404934688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004899559039686428,0.0,0.0,0.0005506607929515419,0.0,0.0010804970286331713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011098779134295228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005111603339580849,0.0005958291956305859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007168458781362007,0.0
denovo612,0.0,0.0,0.0,0.0002224694104560623,0.0,0.0,0.000211954217888936,0.0,0.0,0.0,0.0,0.0006048387096774194,0.0,0.0,0.0,0.00021934634788330776,0.00039277297721916735,0.0,0.0008408071748878924,0.0,0.0,0.0,0.0,0.002188183807439825,0.0010934937124111536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028571428571428574,0.0012077294685990338,0.001134301270417423,0.00037968675842429994,0.0,0.0,0.0009475080538184574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005553498704183636,0.0,0.00021621621621621621,0.0,0.0005125576627370579,0.0,0.0004417936823503424,0.0,0.0,0.0,0.0,0.0,0.0,0.0003601656762110571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010189525168127166,0.0,0.0,0.0011595547309833025,0.0,0.0,0.0,0.0007407407407407407,0.00028328611898016995,0.0,0.001406799531066823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040225261464199515,0.0,0.0,0.0,0.0011350737797956867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002190100744634253,0.0,0.0,0.0,0.0,0.000725689404934688,0.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.0004982561036372695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021609940572663426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048828125,0.000777000777000777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001703867779860283,0.0005958291956305859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007168458781362007,0.000493339911198816
denovo428,0.0,0.00025680534155110427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018698578908002991,0.00021542438604049978,0.0,0.00029761904761904765,0.00021249468763280918,0.0,0.0,0.0,0.0,0.0,0.0006724949562878278,0.00017866714311238162,0.0,0.000248015873015873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002378686964795433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009910802775024777,0.0,0.00046860356138706655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004088307440719542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018989745537409798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005675368898978433,0.0,0.0,0.0,0.0,0.00014738393515106854,0.0,0.0,0.0,0.0,0.0,0.0,0.00041736227045075126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004399472063352398,0.0,0.0,0.0,0.0008316008316008316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001693480101608806,0.0,0.0,0.0,0.0,0.0,0.0,0.0003968253968253968,0.0016168148746968471,0.0,0.0,0.0,0.0,0.0,0.0006451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.002206287920573635,0.0004522840343735866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022331397945511388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
denovo424,0.0004636068613815484,0.0,0.0,0.0008898776418242492,0.0,0.0,0.000635862653666808,0.0,0.00032637075718015666,0.0,0.00021542438604049978,0.0018145161290322581,0.0,0.0,0.0,0.0006580390436499232,0.000589159465828751,0.0,0.002242152466367713,0.0,0.0,0.0,0.0,0.0004862630683199611,0.001822489520685256,0.0,0.0,0.0,0.0,0.0005691519635742744,0.0002479543763947434,0.0,0.0,0.0,0.00028571428571428574,0.0004830917874396135,0.002268602540834846,0.0022781205505457997,0.0,0.0,0.0011370096645821489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009128251939753537,0.0,0.0011106997408367272,0.0,0.00021621621621621621,0.0,0.0020502306509482316,0.0,0.0019880715705765406,0.0,0.0,0.0003370407819346141,0.0,0.0,0.0005893909626719057,0.0010804970286331713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023191094619666049,0.0,0.00028669724770642203,0.00025608194622279127,0.0,0.00141643059490085,0.0002676659528907923,0.0007033997655334115,0.0,0.0,0.0,0.0,0.0011614401858304297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040225261464199515,0.0,0.0,0.0004930966469428008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005047955577990914,0.0,0.0017520805957074025,0.0,0.0,0.0,0.0,0.0,0.0,0.05357142857142857,0.0,0.0,0.0,0.0008869179600886918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021609940572663426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005370569280343716,0.0,0.0,0.0,0.0022197558268590455,0.00044583147570218456,0.0,0.000777000777000777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039721946375372393,0.0,0.00022331397945511388,0.0,0.0,0.0,0.0,0.0,0.0,0.002867383512544803,0.000986679822397632
denovo997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018698578908002991,0.0,0.0,0.00029761904761904765,0.0,0.0,0.00021934634788330776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038774718883288094,0.0004757373929590866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019821605550049553,0.0,0.00023430178069353328,0.0,0.0,0.00025484199796126404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003601656762110571,0.0,0.0002231644722160232,0.0,0.0,0.0,0.0,0.0005920663114268798,0.0,0.0,0.0004075810067250866,0.0,0.00042918454935622315,0.0,0.00018989745537409798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004488330341113106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014245014245014246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004399472063352398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009799118079372856,0.0,0.0,0.0,0.00047596382674916705,0.0,0.0006056935190793458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048828125,0.0,0.0,0.0004522840343735866,0.0004391743522178305,0.0,0.0,0.0,0.0002002002002002002,0.0,0.0,0.0,0.0,0.00021748586341887777,0.0,0.0,0.0005789270551910459,0.0,0.0,0.0,0.0
denovo71,0.0,0.004365690806368772,0.020313020313020312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007627765064836003,0.0,0.0,0.0,0.0,0.0,0.0014005602240896359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017445917655268666,0.0,0.0,0.0007029053420805998,0.0018428933425478,0.0,0.03746177370030581,0.000250501002004008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045163464779238285,0.0004302925989672978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017261219792865361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003218020917135961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011976047904191617,0.0,0.0,0.0033396946564885495,0.0014932802389248383,0.0004938271604938272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009293680297397769,0.0,0.001026694045174538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005998666962897134,0.0,0.0,0.0,0.0,0.0,0.0
denovo76,0.0,0.0012840267077555213,0.000999000999000999,0.0,0.0,0.0,0.0,0.004251299008030231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007793017456359103,0.0,0.0,0.0,0.004576659038901602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029830957905203847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036506599269868017,0.0,0.0,0.0,0.0,0.0,0.0002037905033625433,0.004411200613732259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001267962806424345,0.0,0.0,0.0,0.0,0.022252653200958577,0.0,0.0,0.0,0.0,0.0047370914258645196,0.0,0.0,0.0,0.0,0.0,0.0005675368898978433,0.0,0.0,0.0,0.0,0.0079587324981577,0.0,0.0016070711128967456,0.0,0.0,0.0,0.0,0.018781302170283808,0.0,0.0017964071856287425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004965243296921549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012113870381586917,0.0020693222969477496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003003003003003003,0.09473504856023172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
denovo672,0.0,0.0,0.000333000333000333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003117206982543641,0.0,0.0,0.00017866714311238162,0.0005085176709890668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002378686964795433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000230361667818475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043374539145521576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033400133600534405,0.0,0.0004737091425864519,0.0,0.0,0.0,0.00036483035388544326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041736227045075126,0.0,0.0,0.0,0.0,0.0,0.0,0.0004938271604938272,0.0,0.0,0.0,0.0,0.0004399472063352398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004434589800443459,0.0,0.0,0.00046468401486988845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009765625,0.0,0.0,0.0,0.0006451612903225806,0.00019928258270227183,0.0,0.0,0.0,0.0,0.0,0.0,0.0004522840343735866,0.0,0.001564945226917058,0.0,0.0,0.0,0.0,0.0,0.0,0.00022331397945511388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
