"","denovo107__denovo42","denovo119__denovo46_denovo47","denovo562__denovo464_denovo566","denovo565__denovo125_denovo192","denovo528__denovo97_denovo32","denovo480__denovo532_denovo951","denovo243__denovo363_denovo22","denovo632__denovo344_denovo1141","denovo473__denovo387_denovo109","denovo73__denovo544","denovo780__denovo672_denovo529","denovo682__denovo928_denovo279","denovo799__denovo968_denovo553","denovo97__denovo32","denovo765__denovo870_denovo225","denovo539__denovo262_denovo1138","denovo464__denovo566","denovo504__denovo653_denovo347","denovo623__denovo998_denovo231","denovo706__denovo556_denovo396","denovo603__denovo1105_denovo145","denovo363__denovo22","denovo698__denovo382_denovo134","denovo542__denovo425_denovo1246","denovo534__denovo122_denovo803","denovo955__denovo838_denovo136","denovo125__denovo192","denovo387__denovo109","denovo732__denovo40_denovo18","denovo490__denovo180_denovo909","denovo754__denovo329_denovo660","denovo1012__denovo470","denovo1014__denovo958_denovo567","denovo724__denovo1036_denovo274","denovo928__denovo279","denovo608__denovo155_denovo1150","denovo532__denovo951","denovo679__denovo611_denovo232","denovo672__denovo529","denovo725__denovo37_denovo70","denovo968__denovo553","denovo805__denovo186_denovo945","denovo344__denovo1141","denovo563__denovo659_denovo302","denovo870__denovo225","denovo645__denovo304_denovo1285","denovo262__denovo1138","denovo579__denovo973_denovo88","denovo581__denovo773_denovo223","denovo517__denovo1167_denovo251","denovo618__denovo1522_denovo161","denovo998__denovo231","denovo1013__denovo1232_denovo414","denovo598__denovo373_denovo844","denovo680__denovo1408_denovo137","denovo838__denovo136","denovo122__denovo803","denovo940__denovo1278_denovo415","denovo760__denovo280_denovo827","denovo46__denovo47","denovo475__denovo7_denovo964","denovo564__denovo101_denovo147","denovo40__denovo18","denovo797__denovo148_denovo1162","denovo556__denovo396","denovo444__denovo131_denovo790","denovo552__denovo93_denovo50","denovo442__denovo1053_denovo12","denovo520__denovo912_denovo74","denovo404__denovo1075_denovo117","denovo609__denovo65_denovo624","denovo653__denovo347","denovo1147__denovo126","denovo546__denovo1195_denovo301","denovo614__denovo343_denovo783","denovo558__denovo1163_denovo238","denovo611__denovo232","denovo1105__denovo145","denovo382__denovo134","denovo357__denovo879_denovo10","denovo882__denovo531_denovo1441","denovo699__denovo1607_denovo218","denovo418__denovo776","denovo793__denovo348_denovo1271","denovo329__denovo660","denovo936__denovo356","denovo155__denovo1150","denovo510__denovo164_denovo1391","denovo683__denovo1510_denovo120","denovo1036__denovo274","denovo186__denovo945","denovo527__denovo1181_denovo214","denovo37__denovo70","denovo320__denovo84_denovo235","denovo973__denovo88","denovo958__denovo567","denovo852__denovo275_denovo1215","denovo425__denovo1246","denovo304__denovo1285","denovo492__denovo321_denovo13","denovo659__denovo302","denovo62__denovo1102","denovo694__denovo98_denovo1302","denovo411__denovo1216","denovo543__denovo443_denovo63","denovo1292__denovo297","denovo578__denovo1044_denovo132","denovo148__denovo1162","denovo346__denovo8_denovo1049","denovo1522__denovo161","denovo422__denovo1139","denovo445__denovo81_denovo113","denovo571__denovo183_denovo644","denovo1232__denovo414","denovo1053__denovo12","denovo726__denovo1206_denovo276","denovo180__denovo909","denovo1192__denovo253","denovo65__denovo624","denovo720__denovo196_denovo413","denovo656__denovo60_denovo124","denovo521__denovo19","denovo513__denovo23","denovo93__denovo50","denovo7__denovo964","denovo920__denovo156_denovo152","denovo1278__denovo415","denovo318__denovo78_denovo1156","denovo101__denovo147","denovo1408__denovo137","denovo465__denovo149_denovo59","denovo287__denovo900","denovo446__denovo924","denovo289__denovo868","denovo912__denovo74","denovo373__denovo844","denovo572__denovo1433_denovo111","denovo879__denovo10","denovo1282__denovo258","denovo1242__denovo259","denovo1167__denovo251","denovo447__denovo34_denovo5","denovo131__denovo790","denovo766__denovo86_denovo1176","denovo162__denovo871","denovo280__denovo827","denovo433__denovo27_denovo1217","denovo688__denovo213_denovo907","denovo361__denovo129_denovo35","denovo833__denovo90_denovo216","denovo321__denovo13","denovo1098__denovo242_denovo1066","denovo1607__denovo218","denovo343__denovo783","denovo819__denovo298_denovo115","denovo1350__denovo157","denovo846__denovo1001_denovo112","denovo1195__denovo301","denovo164__denovo1391","denovo1106__denovo393","denovo348__denovo1271","denovo1510__denovo120","denovo1181__denovo214","denovo773__denovo223","denovo98__denovo1302","denovo1075__denovo117","denovo273__denovo21_denovo170","denovo531__denovo1441","denovo380__denovo969","denovo1172__denovo463_denovo908","denovo322__denovo255","denovo275__denovo1215","denovo1163__denovo238","denovo880__denovo104_denovo114","denovo221__denovo965","denovo8__denovo1049","denovo903__denovo586_denovo165","denovo747__denovo106_denovo859","denovo1428__denovo284_denovo789","denovo670__denovo788_denovo172","denovo496__denovo351_denovo14","denovo970__denovo139_denovo753","denovo1364__denovo333_denovo582","denovo948__denovo388_denovo175","denovo84__denovo235","denovo183__denovo644","denovo443__denovo63","denovo1206__denovo276","denovo1000__denovo324_denovo602","denovo1182__denovo416","denovo1044__denovo132","denovo1390__denovo961_denovo432","denovo240__denovo295","denovo349__denovo417","denovo993__denovo997_denovo189","denovo634__denovo121_denovo89","denovo1569__denovo976_denovo378","denovo1322__denovo102_denovo703","denovo60__denovo124","denovo841__denovo245_denovo272","denovo78__denovo1156","denovo1298__denovo338","denovo440__denovo1413","denovo836__denovo209_denovo184","denovo981__denovo99_denovo51","denovo169__denovo1567","denovo637__denovo770_denovo160","denovo800__denovo227_denovo135","denovo967__denovo787_denovo191","denovo196__denovo413","denovo81__denovo113","denovo1028__denovo116_denovo87","denovo1291__denovo230_denovo1104","denovo27__denovo1217","denovo1121__denovo219","denovo398__denovo2_denovo29","denovo1180__denovo210","denovo1227__denovo197_denovo681","denovo34__denovo5","denovo730__denovo57_denovo38","denovo1433__denovo111","denovo1063__denovo727_denovo182","denovo921__denovo627_denovo292","denovo156__denovo152","denovo86__denovo1176","denovo1173__denovo874_denovo48","denovo90__denovo216","denovo298__denovo115","denovo1249__denovo26_denovo193","denovo213__denovo907","denovo812__denovo146_denovo626","denovo884__denovo108_denovo144","denovo1001__denovo112","denovo21__denovo170","denovo821__denovo76_denovo588","denovo655__denovo67_denovo15","denovo242__denovo1066","denovo129__denovo35","denovo351__denovo14","denovo376__denovo628_denovo80","denovo149__denovo59","denovo374__denovo150_denovo56","denovo385__denovo49_denovo75","denovo106__denovo859","denovo788__denovo172","denovo867__denovo837_denovo201","denovo586__denovo165","denovo460__denovo263_denovo1","denovo526__denovo79_denovo36","denovo715__denovo103_denovo91","denovo104__denovo114","denovo997__denovo189","denovo463__denovo908","denovo629__denovo551_denovo61","denovo388__denovo175","denovo139__denovo753","denovo102__denovo703","denovo466__denovo69_denovo53","denovo2__denovo29","denovo333__denovo582","denovo284__denovo789","denovo550__denovo20_denovo30","denovo1003__denovo308_denovo72","denovo663__denovo64_denovo330","denovo787__denovo191","denovo245__denovo272","denovo209__denovo184","denovo457__denovo6_denovo33","denovo727__denovo182","denovo674__denovo41_denovo16","denovo976__denovo378","denovo324__denovo602","denovo99__denovo51","denovo874__denovo48","denovo197__denovo681","denovo230__denovo1104","denovo57__denovo38","denovo961__denovo432","denovo770__denovo160","denovo116__denovo87","denovo121__denovo89","denovo83__denovo96_denovo85","denovo227__denovo135","denovo315__denovo44_denovo11","denovo76__denovo588","denovo108__denovo144","denovo627__denovo292","denovo557__denovo25_denovo4","denovo1177__denovo71_denovo24","denovo26__denovo193","denovo837__denovo201","denovo146__denovo626","denovo67__denovo15","denovo628__denovo80","denovo103__denovo91","denovo263__denovo1","denovo49__denovo75","denovo79__denovo36","denovo69__denovo53","denovo6__denovo33","denovo308__denovo72","denovo150__denovo56","denovo64__denovo330","denovo20__denovo30","denovo551__denovo61","denovo392__denovo31_denovo9","denovo25__denovo4","denovo96__denovo85","denovo41__denovo16","denovo1239__denovo54_denovo43","denovo71__denovo24","denovo502__denovo3_denovo17","denovo44__denovo11","denovo31__denovo9","denovo3__denovo17","denovo54__denovo43"
"denovo1106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"denovo54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1
"denovo34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"denovo1510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"denovo618",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"denovo614",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"denovo611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"denovo610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"denovo1182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"denovo428",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
