,ACC,AUC,F1,GI,IBA,J,MCC,PPV,TNR,TPR
2a-franzosa-mic-ibd-v-hc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2a-franzosa-mic-ibd-v-hc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2a-franzosa-mic-ibd-v-hc,0.70588,0.70139,0.66667,0.40278,0.41184,0.5,0.40849,0.71429,0.77778,0.625
2a-franzosa-mic-ibd-v-hc,0.70588,0.70139,0.73684,0.40278,0.56038,0.58333,0.40849,0.7,0.625,0.77778
2a-franzosa-mic-ibd-v-hc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2a-franzosa-mic-ibd-v-hc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2a-franzosa-mic-ibd-v-hc,0.75,0.75,0.8,0.5,0.75,0.66667,0.57735,0.66667,0.5,1.0
2a-franzosa-mic-ibd-v-hc,0.75,0.75,0.66667,0.5,0.25,0.5,0.57735,1.0,1.0,0.5
2a-franzosa-mic-ibd-v-hc,0.75,0.75,0.8,0.5,0.75,0.66667,0.57735,0.66667,0.5,1.0
2a-franzosa-mic-ibd-v-hc,0.75,0.75,0.66667,0.5,0.25,0.5,0.57735,1.0,1.0,0.5
2a-franzosa-mic-ibd-v-hc,0.94118,0.9375,0.94737,0.875,0.98438,0.9,0.88741,0.9,0.875,1.0
2a-franzosa-mic-ibd-v-hc,0.94118,0.9375,0.93333,0.875,0.76562,0.875,0.88741,1.0,1.0,0.875
2a-franzosa-mic-ibd-v-hc,0.8125,0.8125,0.84211,0.625,0.85938,0.72727,0.6742,0.72727,0.625,1.0
2a-franzosa-mic-ibd-v-hc,0.8125,0.8125,0.76923,0.625,0.39062,0.625,0.6742,1.0,1.0,0.625
2a-franzosa-mic-ibd-v-hc,0.875,0.875,0.88889,0.75,0.9375,0.8,0.7746,0.8,0.75,1.0
2a-franzosa-mic-ibd-v-hc,0.875,0.875,0.85714,0.75,0.5625,0.75,0.7746,1.0,1.0,0.75
2a-franzosa-mic-ibd-v-hc,0.82353,0.81944,0.84211,0.63889,0.75926,0.72727,0.64795,0.8,0.75,0.88889
2a-franzosa-mic-ibd-v-hc,0.82353,0.81944,0.8,0.63889,0.57407,0.66667,0.64795,0.85714,0.88889,0.75
2a-franzosa-mic-ibd-v-hc,0.875,0.875,0.88889,0.75,0.9375,0.8,0.7746,0.8,0.75,1.0
2a-franzosa-mic-ibd-v-hc,0.875,0.875,0.85714,0.75,0.5625,0.75,0.7746,1.0,1.0,0.75
2a-franzosa-mic-ibd-v-hc,0.75,0.75,0.8,0.5,0.75,0.66667,0.57735,0.66667,0.5,1.0
2a-franzosa-mic-ibd-v-hc,0.75,0.75,0.66667,0.5,0.25,0.5,0.57735,1.0,1.0,0.5
2a-franzosa-mic-ibd-v-hc,0.75,0.75,0.8,0.5,0.75,0.66667,0.57735,0.66667,0.5,1.0
2a-franzosa-mic-ibd-v-hc,0.75,0.75,0.66667,0.5,0.25,0.5,0.57735,1.0,1.0,0.5
2a-franzosa-mic-ibd-v-hc,0.88235,0.88194,0.88889,0.76389,0.78858,0.8,0.76389,0.88889,0.875,0.88889
2a-franzosa-mic-ibd-v-hc,0.88235,0.88194,0.875,0.76389,0.76698,0.77778,0.76389,0.875,0.88889,0.875
2a-franzosa-mic-ibd-v-hc,0.9375,0.9375,0.94118,0.875,0.98438,0.88889,0.88192,0.88889,0.875,1.0
2a-franzosa-mic-ibd-v-hc,0.9375,0.9375,0.93333,0.875,0.76562,0.875,0.88192,1.0,1.0,0.875
2a-franzosa-mic-ibd-v-hc,0.76471,0.75694,0.8,0.51389,0.70216,0.66667,0.53674,0.72727,0.625,0.88889
2a-franzosa-mic-ibd-v-hc,0.76471,0.75694,0.71429,0.51389,0.40895,0.55556,0.53674,0.83333,0.88889,0.625
2a-franzosa-mic-ibd-v-hc,0.82353,0.82639,0.82353,0.65278,0.74672,0.7,0.65278,0.77778,0.77778,0.875
2a-franzosa-mic-ibd-v-hc,0.82353,0.82639,0.82353,0.65278,0.61439,0.7,0.65278,0.875,0.875,0.77778
2a-franzosa-mic-ibd-v-hc,0.8125,0.8125,0.84211,0.625,0.85938,0.72727,0.6742,0.72727,0.625,1.0
2a-franzosa-mic-ibd-v-hc,0.8125,0.8125,0.76923,0.625,0.39062,0.625,0.6742,1.0,1.0,0.625
2a-franzosa-mic-ibd-v-hc,0.88235,0.88889,0.88889,0.77778,0.95062,0.8,0.78881,0.8,0.77778,1.0
2a-franzosa-mic-ibd-v-hc,0.88235,0.88889,0.875,0.77778,0.60494,0.77778,0.78881,1.0,1.0,0.77778
2a-franzosa-mic-ibd-v-hc,0.9375,0.9375,0.94118,0.875,0.98438,0.88889,0.88192,0.88889,0.875,1.0
2a-franzosa-mic-ibd-v-hc,0.9375,0.9375,0.93333,0.875,0.76562,0.875,0.88192,1.0,1.0,0.875
2a-franzosa-mic-ibd-v-hc,0.8125,0.8125,0.82353,0.625,0.73828,0.7,0.62994,0.77778,0.75,0.875
2a-franzosa-mic-ibd-v-hc,0.8125,0.8125,0.8,0.625,0.57422,0.66667,0.62994,0.85714,0.875,0.75
2b-franzosa-mic-cd-v-uc,0.88889,0.875,0.85714,0.75,0.5625,0.75,0.79057,1.0,1.0,0.75
2b-franzosa-mic-cd-v-uc,0.88889,0.875,0.90909,0.75,0.9375,0.83333,0.79057,0.83333,0.75,1.0
2b-franzosa-mic-cd-v-uc,0.77778,0.8,0.8,0.6,0.84,0.66667,0.63246,0.66667,0.6,1.0
2b-franzosa-mic-cd-v-uc,0.77778,0.8,0.75,0.6,0.36,0.6,0.63246,1.0,1.0,0.6
2b-franzosa-mic-cd-v-uc,0.75,0.75,0.75,0.5,0.5625,0.6,0.5,0.75,0.75,0.75
2b-franzosa-mic-cd-v-uc,0.75,0.75,0.75,0.5,0.5625,0.6,0.5,0.75,0.75,0.75
2b-franzosa-mic-cd-v-uc,0.875,0.875,0.85714,0.75,0.5625,0.75,0.7746,1.0,1.0,0.75
2b-franzosa-mic-cd-v-uc,0.875,0.875,0.88889,0.75,0.9375,0.8,0.7746,0.8,0.75,1.0
2b-franzosa-mic-cd-v-uc,0.77778,0.75,0.83333,0.5,0.75,0.71429,0.59761,0.71429,0.5,1.0
2b-franzosa-mic-cd-v-uc,0.77778,0.75,0.66667,0.5,0.25,0.5,0.59761,1.0,1.0,0.5
2b-franzosa-mic-cd-v-uc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2b-franzosa-mic-cd-v-uc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2b-franzosa-mic-cd-v-uc,0.66667,0.65,0.57143,0.3,0.28,0.4,0.31623,0.66667,0.8,0.5
2b-franzosa-mic-cd-v-uc,0.66667,0.65,0.72727,0.3,0.52,0.57143,0.31623,0.66667,0.5,0.8
2b-franzosa-mic-cd-v-uc,0.66667,0.65,0.57143,0.3,0.28,0.4,0.31623,0.66667,0.8,0.5
2b-franzosa-mic-cd-v-uc,0.66667,0.65,0.72727,0.3,0.52,0.57143,0.31623,0.66667,0.5,0.8
2b-franzosa-mic-cd-v-uc,0.5,0.5,0.5,0.0,0.25,0.33333,0.0,0.5,0.5,0.5
2b-franzosa-mic-cd-v-uc,0.5,0.5,0.5,0.0,0.25,0.33333,0.0,0.5,0.5,0.5
2b-franzosa-mic-cd-v-uc,0.33333,0.35,0.4,-0.3,0.13,0.25,-0.31623,0.33333,0.2,0.5
2b-franzosa-mic-cd-v-uc,0.33333,0.35,0.25,-0.3,0.07,0.14286,-0.31623,0.33333,0.5,0.2
2b-franzosa-mic-cd-v-uc,0.625,0.625,0.4,0.25,0.0625,0.25,0.37796,1.0,1.0,0.25
2b-franzosa-mic-cd-v-uc,0.625,0.625,0.72727,0.25,0.4375,0.57143,0.37796,0.57143,0.25,1.0
2b-franzosa-mic-cd-v-uc,0.88889,0.875,0.90909,0.75,0.9375,0.83333,0.79057,0.83333,0.75,1.0
2b-franzosa-mic-cd-v-uc,0.88889,0.875,0.85714,0.75,0.5625,0.75,0.79057,1.0,1.0,0.75
2b-franzosa-mic-cd-v-uc,0.77778,0.75,0.83333,0.5,0.75,0.71429,0.59761,0.71429,0.5,1.0
2b-franzosa-mic-cd-v-uc,0.77778,0.75,0.66667,0.5,0.25,0.5,0.59761,1.0,1.0,0.5
2b-franzosa-mic-cd-v-uc,0.44444,0.475,0.28571,-0.05,0.0675,0.16667,-0.05976,0.5,0.75,0.2
2b-franzosa-mic-cd-v-uc,0.44444,0.475,0.54545,-0.05,0.2325,0.375,-0.05976,0.42857,0.2,0.75
2b-franzosa-mic-cd-v-uc,0.88889,0.875,0.85714,0.75,0.5625,0.75,0.79057,1.0,1.0,0.75
2b-franzosa-mic-cd-v-uc,0.88889,0.875,0.90909,0.75,0.9375,0.83333,0.79057,0.83333,0.75,1.0
2b-franzosa-mic-cd-v-uc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2b-franzosa-mic-cd-v-uc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2b-franzosa-mic-cd-v-uc,0.66667,0.7,0.72727,0.4,0.64,0.57143,0.47809,0.57143,0.4,1.0
2b-franzosa-mic-cd-v-uc,0.66667,0.7,0.57143,0.4,0.16,0.4,0.47809,1.0,1.0,0.4
2b-franzosa-mic-cd-v-uc,0.88889,0.9,0.88889,0.8,0.64,0.8,0.8,1.0,1.0,0.8
2b-franzosa-mic-cd-v-uc,0.88889,0.9,0.88889,0.8,0.96,0.8,0.8,0.8,0.8,1.0
2b-franzosa-mic-cd-v-uc,0.88889,0.9,0.88889,0.8,0.64,0.8,0.8,1.0,1.0,0.8
2b-franzosa-mic-cd-v-uc,0.88889,0.9,0.88889,0.8,0.96,0.8,0.8,0.8,0.8,1.0
2b-franzosa-mic-cd-v-uc,0.66667,0.675,0.66667,0.35,0.5175,0.5,0.35,0.6,0.6,0.75
2b-franzosa-mic-cd-v-uc,0.66667,0.675,0.66667,0.35,0.3825,0.5,0.35,0.75,0.75,0.6
3b-duvallet-schubert-case-v-nondc,0.92,0.91319,0.88889,0.82639,0.79282,0.8,0.82639,0.88889,0.9375,0.88889
